nome,site_url
Iberia,https://www.iberia.com/br/gesta-o-reservas/?language=pt&market=br&channel=COM#!/chktrp
SWISS,https://www.swiss.com/br/pt/profile.html
LATAM,https://www.latamairlines.com/br/pt/minhas-viagens
Gol,https://b2c.voegol.com.br/minhas-viagens/encontrar-viagem?_gl=1*178q11*_gcl_au*MzYxMTY1NTMuMTc1NDE1NzU0MQ..
Azul,https://www.voeazul.com.br/br/pt/minhas-viagens
Air France / KLM,https://wwws.airfrance.com.br/en/trip
American Airlines,https://www.aa.com/homePage.do
Delta Air Lines,https://www.delta.com/mytrips
Copa Airlines,https://www.copaair.com/es-gs/flight-status/
TAP Air Portugal,https://www.flytap.com/pt-pt#special-anchor-my-travels
Lufthansa,https://www.lufthansa.com/br/pt/as-minhas-reservas.html
Emirates,https://www.emirates.com/br/portuguese/manage-booking/
Qatar Airways,https://www.qatarairways.com/pt-br/manage-booking.html
Turkish Airlines,https://www.turkishairlines.com/en-br/flights/manage-booking/
British Airways,https://www.britishairways.com/travel/managebooking/public/pt_br/
Air Europa,https://www.aireuropa.com/br/pt/gestao-da-reserva
Aeroméxico,https://aeromexico.com/es-mx/my-trips
